Source IP,Destination IP,Packet Size,Source Port,Destination Port,Protocol,Timestamp
/192.168.43.186,/142.250.185.14,3856,64902,443,6 (TCP),1736094288752
/192.168.43.186,/142.250.185.14,93,64902,443,6 (TCP),1736094288772
/192.168.43.186,/142.250.185.14,1454,64902,443,6 (TCP),1736094288772
/142.250.185.14,/192.168.43.186,54,443,64902,6 (TCP),1736094288773
/192.168.43.186,/142.250.185.14,1454,64902,443,6 (TCP),1736094288773
/142.250.185.14,/192.168.43.186,66,443,64902,6 (TCP),1736094288775
/142.250.185.14,/192.168.43.186,66,443,64902,6 (TCP),1736094288775
/142.250.185.14,/192.168.43.186,54,443,64902,6 (TCP),1736094288775
/142.250.185.14,/192.168.43.186,93,443,64902,6 (TCP),1736094288787
/192.168.43.186,/142.250.185.14,919,64902,443,6 (TCP),1736094288788
/142.250.185.14,/192.168.43.186,121,443,64902,6 (TCP),1736094288788
/142.250.185.14,/192.168.43.186,85,443,64902,6 (TCP),1736094288788
/142.250.185.14,/192.168.43.186,93,443,64902,6 (TCP),1736094288788
/192.168.43.186,/142.250.185.14,54,64902,443,6 (TCP),1736094288789
/192.168.43.186,/142.250.185.14,93,64902,443,6 (TCP),1736094288789
/142.250.185.14,/192.168.43.186,54,443,64902,6 (TCP),1736094288789
/142.250.185.14,/192.168.43.186,54,443,64902,6 (TCP),1736094288789
/142.250.185.14,/192.168.43.186,54,443,64902,6 (TCP),1736094288789
/192.168.43.186,/142.250.185.14,3925,64902,443,6 (TCP),1736094288790
/192.168.43.186,/142.250.185.14,2854,64902,443,6 (TCP),1736094288790
/142.250.185.14,/192.168.43.186,123,443,64902,6 (TCP),1736094288790
/142.250.185.14,/192.168.43.186,85,443,64902,6 (TCP),1736094288791
/142.250.185.14,/192.168.43.186,93,443,64902,6 (TCP),1736094288791
/192.168.43.186,/142.250.185.14,54,64902,443,6 (TCP),1736094288791
/142.250.185.14,/192.168.43.186,54,443,64902,6 (TCP),1736094288791
/142.250.185.14,/192.168.43.186,54,443,64902,6 (TCP),1736094288792
/192.168.43.186,/142.250.185.14,7054,64902,443,6 (TCP),1736094288792
/142.250.185.14,/192.168.43.186,54,443,64902,6 (TCP),1736094288792
/192.168.43.186,/142.250.185.14,1454,64902,443,6 (TCP),1736094288792
/142.250.185.14,/192.168.43.186,54,443,64902,6 (TCP),1736094288792
/142.250.185.14,/192.168.43.186,54,443,64902,6 (TCP),1736094288793
/192.168.43.186,/142.250.185.14,2854,64902,443,6 (TCP),1736094288793
/142.250.185.14,/192.168.43.186,54,443,64902,6 (TCP),1736094288793
/142.250.185.14,/192.168.43.186,54,443,64902,6 (TCP),1736094288793
/142.250.185.14,/192.168.43.186,54,443,64902,6 (TCP),1736094288794
/192.168.43.186,/142.250.185.14,5654,64902,443,6 (TCP),1736094288794
/142.250.185.14,/192.168.43.186,54,443,64902,6 (TCP),1736094288794
/192.168.43.186,/142.250.185.14,1454,64902,443,6 (TCP),1736094288794
/192.168.43.186,/142.250.201.68,54,64894,443,6 (TCP),1736094288795
/192.168.43.186,/137.184.250.43,966,64870,443,6 (TCP),1736094288795
/142.250.185.14,/192.168.43.186,66,443,64902,6 (TCP),1736094288795
